t_s,soc_p5,soc_p50,soc_p95
6.450000000000000000e+02,8.306521694921360499e-01,8.318044214152751081e-01,8.325930371760525972e-01
6.500000000000000000e+02,8.294523661774015899e-01,8.306134244062248762e-01,8.314080549023751265e-01
6.550000000000000000e+02,8.282538618932244745e-01,8.294237259888741498e-01,8.302243707368087700e-01
6.600000000000000000e+02,8.270566477065184330e-01,8.282353172762908500e-01,8.290419758238757320e-01
6.650000000000000000e+02,8.258607147326531006e-01,8.270481894299386294e-01,8.278608613564459873e-01
6.700000000000000000e+02,8.246660541353046936e-01,8.258623336595252162e-01,8.266810185755855134e-01
6.750000000000000000e+02,8.234726571263037975e-01,8.246777412228476489e-01,8.255024387704000821e-01
6.800000000000000000e+02,8.222805149654780488e-01,8.234944034256355128e-01,8.243251132778769419e-01
6.850000000000000000e+02,8.210896189604932616e-01,8.223123116213888473e-01,8.231490334827217259e-01
6.900000000000000000e+02,8.198999604666901142e-01,8.211314572112135002e-01,8.219741908171938061e-01
6.950000000000000000e+02,8.187115308869183927e-01,8.199518316436545939e-01,8.208005767609378722e-01
7.000000000000000000e+02,8.175243216713676819e-01,8.187734264145266616e-01,8.196281828408131798e-01
7.050000000000000000e+02,8.163383243173969461e-01,8.175962330667396749e-01,8.184570006307195777e-01
7.100000000000000000e+02,8.151535303693587808e-01,8.164202431901250723e-01,8.172870217514227598e-01
7.150000000000000000e+02,8.139699314184248857e-01,8.152454484212585673e-01,8.161182378703752960e-01
7.200000000000000000e+02,8.127875191024063195e-01,8.140718404432799593e-01,8.149506407015362219e-01
7.250000000000000000e+02,8.116062851055727556e-01,8.128994109857112793e-01,8.137842220051900721e-01
7.300000000000000000e+02,8.104262211584705167e-01,8.117281518242739358e-01,8.126189735877615838e-01
7.350000000000000000e+02,8.092473190377367231e-01,8.105580547807031966e-01,8.114548873016305119e-01
7.400000000000000000e+02,8.080695705659141082e-01,8.093891117225606724e-01,8.102919550449435571e-01
7.450000000000000000e+02,8.068929676112625016e-01,8.082213145630467999e-01,8.091301687614261828e-01
7.500000000000000000e+02,8.057175020875687599e-01,8.070546552608093283e-01,8.079695204401914355e-01
7.550000000000000000e+02,8.045431659539573621e-01,8.058891258197531382e-01,8.068100021155489854e-01
7.600000000000000000e+02,8.033699512146962318e-01,8.047247182888468409e-01,8.056516058668107272e-01
7.650000000000000000e+02,8.021978499190046685e-01,8.035614247619291550e-01,8.044943238180987111e-01
7.700000000000000000e+02,8.010268541608580595e-01,8.023992373775139519e-01,8.033381481381475231e-01
7.750000000000000000e+02,7.998569560787921473e-01,8.012381483185939679e-01,8.021830710401103293e-01
7.800000000000000000e+02,7.986881478557064096e-01,8.000781498124440727e-01,8.010290847813599235e-01
7.850000000000000000e+02,7.975204217186665501e-01,7.989192341304238720e-01,7.998761816632922184e-01
7.900000000000000000e+02,7.963537699387062130e-01,7.977613935877780893e-01,7.987243540311267376e-01
7.950000000000000000e+02,7.951881848306270317e-01,7.966046205434385019e-01,7.975735942737076645e-01
8.000000000000000000e+02,7.940236587527998990e-01,7.954489073998234350e-01,7.964238948233035575e-01
8.050000000000000000e+02,7.928601841069635725e-01,7.942942466026370330e-01,7.952752481554073993e-01
8.100000000000000000e+02,7.916977533380242793e-01,7.931406306406691975e-01,7.941276467885349799e-01
8.150000000000000000e+02,7.905363589338537667e-01,7.919880520455928608e-01,7.929810832840237245e-01
8.200000000000000000e+02,7.893759934250875743e-01,7.908365033917630349e-01,7.918355502458311879e-01
8.250000000000000000e+02,7.882166493849225297e-01,7.896859772960143076e-01,7.906910403203324389e-01
8.300000000000000000e+02,7.870583194289143547e-01,7.885364664174585592e-01,7.895475461961177777e-01
8.350000000000000000e+02,7.859009962147747164e-01,7.873879634572820141e-01,7.884050606037905640e-01
8.400000000000000000e+02,7.847446724421676123e-01,7.862404611585424030e-01,7.872635763157640465e-01
8.450000000000000000e+02,7.835893408525065329e-01,7.850939523059659031e-01,7.861230861460586361e-01
