t_s,soc,temp_k,soh,v_term,v_ocv,current_a,p_screen,p_cpu,p_wifi,p_gps,p_net,p_load,p_charge,p_total,p_heat,label
325.0,0.6827569925265501,311.53575403644686,0.9999664578651144,3.6357588477075375,3.9208679950069856,5.38115054892519,2.2222263822676696,17.175938860476517,0.1,0.5,0.09999807726487447,19.99853822525249,0.0,19.99815370633344,20.499209335756525,SOH=1.0
330.0,0.6804862071471592,311.5363539180823,0.9999659661146243,3.6338556186465967,3.9191666456445735,5.383758608310505,2.222224397122438,17.175599326991566,0.1,0.5,0.09999798793522384,19.99821402874568,0.0,19.99781165172535,20.50030312205036,SOH=1.0
335.0,0.6782185180955062,311.5369555491798,0.999965474860484,3.631957215535011,3.9174709009072166,5.386361905456398,2.222222322651779,17.17525810217594,0.1,0.5,0.09999789458601384,19.997888830692176,0.0,19.9974677923438,20.501400399808208,SOH=1.0
340.0,0.6759539034822036,311.537558971978,0.9999649841028344,3.6300635873402785,3.9157807262686473,5.388960480681384,2.222220154953769,17.174915132581035,0.1,0.5,0.09999779704166156,19.997562607757725,0.0,19.99712206978477,20.502501244615804,SOH=1.0
345.0,0.6736923415468489,311.5381642287136,0.9999644938418184,3.6281746836177775,3.914096087946647,5.3915543733079065,2.2222178899605476,17.17457036346194,0.1,0.5,0.09999769511911713,19.997235336591565,0.0,19.99677442413719,20.50360573287276,SOH=1.0
350.0,0.6714338106569115,311.53877136170934,0.9999640040775776,3.626290454493948,3.912416952885496,5.394143621655312,2.222215523431428,17.17422373867676,0.1,0.5,0.09999758862755374,19.996906993778868,0.0,19.996424793873512,20.504713941755412,SOH=1.0
355.0,0.6691782893068164,311.53938041344145,0.9999635148102547,3.6244108506494648,3.9107432887392366,5.396728263034269,2.222213050945724,17.17387520059472,0.1,0.5,0.09999747736804461,19.996577555804127,0.0,19.996073115748715,20.505825949191923,SOH=1.0
360.0,0.6669257561171644,311.5399914265916,0.9999630260399923,3.622535823302572,3.9090750638557017,5.399308333741994,2.2222104678952856,17.173524690010257,0.1,0.5,0.09999736113322738,19.996246999022738,0.0,19.99571932470491,20.506941833846255,SOH=1.0
365.0,0.664676189834082,311.54060444408634,0.9999625377669341,3.620665324192617,3.9074122472612216,5.4018838690578805,2.222207769476733,17.173172146061635,0.1,0.5,0.0999972397069546,19.99591529963948,0.0,19.995363353780096,20.508061675109797,SOH=1.0
370.0,0.6624295693286402,311.541219509129,0.9999620499912231,3.618799305563928,3.905754808646,5.404454903238676,2.222204950683377,17.172817506151173,0.1,0.5,0.09999711286392993,19.995582433691,0.0,19.99500513401813,20.509185553097044,SOH=1.0
375.0,0.6601858735963475,311.5418366652244,0.9999615627130038,3.6169377201500263,3.90410271835008,5.407021469513209,2.222202006296804,17.172460705866786,0.1,0.5,0.09999698036932975,19.99524837703216,0.0,19.99464459437957,20.5103135486454,SOH=1.0
380.0,0.6579450817566942,311.5424559561986,0.9999610759324215,3.615080521158233,3.902455947349895,5.4095836000763455,2.2221989308781303,17.172101678903516,0.1,0.5,0.09999684197840945,19.994913105324976,0.0,19.994281661652103,20.51144574331752,SOH=1.0
385.0,0.6557071730527285,311.5430774262159,0.9999605896496216,3.6132276622546926,3.9008144672453446,5.41214132608176,2.222195718758899,17.171740356983996,0.1,0.5,0.09999669743609384,19.994576594029244,0.0,19.993916260359462,20.51258221940504,SOH=1.0
390.0,0.6534721268506746,311.5437011197924,0.9999601038647512,3.611379097549821,3.8991782502473935,5.4146946776337215,2.2221923640316006,17.171376669777803,0.1,0.5,0.09999654647655064,19.994238818394823,0.0,19.99354831266871,20.513723059934,SOH=1.0
395.0,0.6512399226395745,311.544327081807,0.9999596185779576,3.609534781584179,3.8975472691661537,5.417243683777584,2.222188860539822,17.17101054481907,0.1,0.5,0.09999638882274704,19.99389975345525,0.0,19.993177738295376,20.514868348671126,SOH=1.0
400.0,0.6490105400309537,311.5449553575121,0.9999591337893896,3.607694669314798,3.8959214973994305,5.419788372488833,2.2221852018679926,17.170641907421604,0.1,0.5,0.09999622418598851,19.993559374021768,0.0,19.99280445440553,20.516018170130288,SOH=1.0
